contact_id,customer_id,first_name,last_name,email,phone,job_title,department,contact_role,influence_level,is_primary_contact,created_at,updated_at,batch_id
CONT_000001,CUST_000001,Grace,Ortiz,grace.ortiz1@keystone.holdings.group.example.com,+1-218-284-9559,Revenue Operations Manager,Revenue,decision_maker,high,true,2023-12-26 12:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000002,CUST_000002,Jasmine,Wood,jasmine.wood1@summit.care.llc.example.com,+1-853-509-6124,IT Director,Technology,technical_buyer,executive,true,2021-04-27 14:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000003,CUST_000002,Austin,Adams,austin.adams2@summit.care.llc.example.com,+1-684-883-9904,Support Manager,Support,day_to_day_user,low,false,2021-06-12 11:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000004,CUST_000003,Andrew,James,andrew.james1@synergy.works.co.example.com,+1-823-271-7380,Revenue Operations Manager,Revenue,decision_maker,high,true,2026-06-10 16:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000005,CUST_000003,Rachel,Nelson,rachel.nelson2@synergy.works.co.example.com,+1-889-760-4405,Systems Administrator,Technology,admin,medium,false,2026-06-07 10:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000006,CUST_000003,Amber,Russell,amber.russell3@synergy.works.co.example.com,+1-266-860-4830,Finance Manager,Finance,billing_contact,high,false,2026-05-21 15:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000007,CUST_000004,Tyler,Foster,tyler.foster1@cobalt.builders.enterprises.example.com,+1-724-578-9877,Operations Director,Operations,decision_maker,executive,true,2023-08-22 16:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000008,CUST_000004,Wyatt,Collins,wyatt.collins2@cobalt.builders.enterprises.example.com,+1-570-812-6233,Director of Analytics,Analytics,influencer,medium,false,2023-05-07 10:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000009,CUST_000005,Megan,Torres,megan.torres1@frontier.capital.company.example.com,+1-596-290-8365,IT Director,Technology,technical_buyer,high,true,2026-05-13 14:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000010,CUST_000005,Sofia,Clark,sofia.clark2@frontier.capital.company.example.com,+1-916-547-2810,Director of Analytics,Analytics,influencer,medium,false,2026-05-08 08:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000011,CUST_000005,Victoria,Morgan,victoria.morgan3@frontier.capital.company.example.com,+1-865-659-2520,Implementation Lead,Operations,champion,high,false,2026-06-08 13:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000012,CUST_000006,Julia,Lopez,julia.lopez1@blue.ridge.redwood.analytics.example.com,+1-299-918-9534,Revenue Operations Manager,Revenue,decision_maker,high,true,2021-11-29 16:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000013,CUST_000006,Brianna,Carter,brianna.carter2@blue.ridge.redwood.analytics.example.com,+1-971-666-6472,Support Manager,Support,day_to_day_user,low,false,2021-10-03 16:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000014,CUST_000006,Sean,Griffin,sean.griffin3@blue.ridge.redwood.analytics.example.com,+1-813-830-7513,Systems Administrator,Technology,admin,low,false,2021-12-24 16:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000015,CUST_000006,Gabriel,Gray,gabriel.gray4@blue.ridge.redwood.analytics.example.com,+1-220-891-6332,Finance Manager,Finance,billing_contact,low,false,2021-12-01 16:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000016,CUST_000006,Sara,Morgan,sara.morgan5@blue.ridge.redwood.analytics.example.com,+1-870-238-7280,Finance Manager,Finance,billing_contact,high,false,2021-11-15 16:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000017,CUST_000007,Samuel,Hill,samuel.hill1@summit.networks.labs.example.com,+1-564-399-5361,VP Customer Experience,Operations,economic_buyer,high,true,2025-05-09 16:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000018,CUST_000008,Alex,Robinson,alex.robinson1@waypoint.insights.company.example.com,+1-670-742-5590,VP Customer Experience,Operations,economic_buyer,high,true,2026-03-01 11:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000019,CUST_000008,Austin,Howard,austin.howard2@waypoint.insights.company.example.com,+1-553-862-5460,Finance Manager,Finance,billing_contact,medium,false,2026-02-04 11:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000020,CUST_000008,Owen,Thompson,owen.thompson3@waypoint.insights.company.example.com,+1-533-720-9341,Support Manager,Support,day_to_day_user,medium,false,2025-12-19 16:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000021,CUST_000009,Abigail,Garcia,abigail.garcia1@liberty.networks.group.example.com,+1-901-452-4134,Revenue Operations Manager,Revenue,decision_maker,executive,true,2022-12-21 13:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000022,CUST_000009,Rachel,Mitchell,rachel.mitchell2@liberty.networks.group.example.com,+1-410-917-2689,Implementation Lead,Operations,champion,high,false,2022-09-11 08:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000023,CUST_000010,Hector,Turner,hector.turner1@frontier.holdings.solutions.example.com,+1-554-840-7406,IT Director,Technology,technical_buyer,high,true,2021-06-20 09:15:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000024,CUST_000010,Abigail,Jenkins,abigail.jenkins2@frontier.holdings.solutions.example.com,+1-204-380-5666,Implementation Lead,Operations,champion,low,false,2021-06-12 13:30:00,2026-06-13 09:00:00,batch_2026_06_13_001
CONT_000025,CUST_000011,Elijah,Moore,elijah.moore1@redwood.consulting.group.example.com,+1-496-752-5813,Revenue Operations Manager,Revenue,decision_maker,high,true,2025-12-27 16:45:00,2026-06-13 09:00:00,batch_2026_06_13_001
