employee_id,manager_employee_id,first_name,last_name,email,department,role,region,hire_date,termination_date,is_active,performance_band,capacity_band,created_at,updated_at,batch_id
EMP_000001,,Wyatt,Foster,wyatt.foster1@customerops.example.com,Executive,CRO,West,2025-11-15,,true,top,normal,2025-11-15 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000002,,Morgan,Scott,morgan.scott2@customerops.example.com,Executive,COO,South,2026-04-06,,true,standard,normal,2026-04-06 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000003,,Rebecca,Powell,rebecca.powell3@customerops.example.com,Executive,CEO,Midwest,2025-06-30,,true,standard,normal,2025-06-30 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000004,,Austin,Collins,austin.collins4@customerops.example.com,Executive,VP Customer Operations,Midwest,2025-03-09,2025-12-14,false,strong,normal,2025-03-09 09:00:00,2025-12-14 17:00:00,batch_2026_06_13_001
EMP_000005,EMP_000004,Thomas,Jackson,thomas.jackson5@customerops.example.com,Finance,Finance Manager,South,2024-01-15,,true,standard,normal,2024-01-15 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000006,EMP_000002,Taylor,Taylor,taylor.taylor6@customerops.example.com,Sales,Account Executive,West,2024-09-23,,true,strong,normal,2024-09-23 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000007,EMP_000006,Ethan,Perez,ethan.perez7@customerops.example.com,Customer Success,Strategic CSM,West,2023-10-01,,true,standard,normal,2023-10-01 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000008,EMP_000006,Alex,Jenkins,alex.jenkins8@customerops.example.com,Customer Success,Renewal Manager,Midwest,2020-05-18,,true,strong,high,2020-05-18 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000009,EMP_000007,David,Perez,david.perez9@customerops.example.com,Sales,Account Executive,Midwest,2020-10-12,,true,standard,normal,2020-10-12 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000010,EMP_000002,Sophia,Martinez,sophia.martinez10@customerops.example.com,Customer Success,Renewal Manager,Northeast,2024-03-22,,true,strong,normal,2024-03-22 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000011,EMP_000002,Avery,Long,avery.long11@customerops.example.com,Support,Support Specialist,South,2025-09-06,,true,standard,high,2025-09-06 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000012,EMP_000002,Tyler,Hall,tyler.hall12@customerops.example.com,Implementation,Solutions Consultant,West,2023-02-14,,true,standard,normal,2023-02-14 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000013,EMP_000006,Sydney,Thomas,sydney.thomas13@customerops.example.com,Product,Product Operations Analyst,Midwest,2024-05-12,,true,standard,normal,2024-05-12 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000014,EMP_000002,Amy,Wilson,amy.wilson14@customerops.example.com,Sales,Senior Account Executive,Northeast,2024-05-04,,true,standard,normal,2024-05-04 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000015,EMP_000005,Marcus,Jenkins,marcus.jenkins15@customerops.example.com,Implementation,Implementation Manager,Northeast,2022-07-14,2023-09-21,false,strong,high,2022-07-14 09:00:00,2023-09-21 17:00:00,batch_2026_06_13_001
EMP_000016,EMP_000008,Chloe,White,chloe.white16@customerops.example.com,Sales,Enterprise Account Executive,Midwest,2025-08-07,,true,developing,high,2025-08-07 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000017,EMP_000006,Emily,Perez,emily.perez17@customerops.example.com,Support,Senior Support Specialist,Midwest,2022-03-30,,true,standard,normal,2022-03-30 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000018,EMP_000006,Joseph,Powell,joseph.powell18@customerops.example.com,Support,Support Specialist,South,2025-01-01,,true,top,high,2025-01-01 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000019,EMP_000015,Amir,Moore,amir.moore19@customerops.example.com,Customer Success,Strategic CSM,Midwest,2025-08-21,,true,standard,normal,2025-08-21 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000020,EMP_000005,Morgan,Bennett,morgan.bennett20@customerops.example.com,Customer Success,Customer Success Director,West,2022-03-16,,true,strong,low,2022-03-16 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000021,EMP_000005,Christian,Campbell,christian.campbell21@customerops.example.com,Customer Success,Strategic CSM,West,2025-03-12,,true,standard,low,2025-03-12 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000022,EMP_000005,Brandon,Flores,brandon.flores22@customerops.example.com,Finance,Finance Manager,Northeast,2024-08-10,,true,top,low,2024-08-10 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000023,EMP_000011,Robert,Simmons,robert.simmons23@customerops.example.com,Implementation,Implementation Manager,South,2022-08-19,,true,standard,overloaded,2022-08-19 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000024,EMP_000007,Amanda,Ortiz,amanda.ortiz24@customerops.example.com,Support,Support Specialist,Northeast,2022-02-06,,true,top,normal,2022-02-06 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
EMP_000025,EMP_000018,William,Gonzales,william.gonzales25@customerops.example.com,Sales,Sales Manager,Midwest,2025-11-01,,true,standard,overloaded,2025-11-01 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
